name,time,flow_in,flow_out,pressure_in,pressure_out
aorta,6.3574117411741149e-01,-3.1141454941909572e+00,2.3668735095481095e+00,1.8178892244925970e+05,1.8185883829155666e+05
aorta,6.3584988498849881e-01,-3.1172582296346545e+00,2.3656438481855888e+00,1.8178291879229984e+05,1.8185339255286127e+05
aorta,6.3595859585958614e-01,-3.1203823360751533e+00,2.3644036739485963e+00,1.8177691304832493e+05,1.8184794351033837e+05
aorta,6.3606730673067347e-01,-3.1235007570172519e+00,2.3631530106937859e+00,1.8177090526359476e+05,1.8184249115727076e+05
aorta,6.3617601760176079e-01,-3.1266220207085507e+00,2.3618918826247710e+00,1.8176489543217624e+05,1.8183703548697487e+05
aorta,6.3628472847284634e-01,-3.1297418630252487e+00,2.3606203142907769e+00,1.8175888357420580e+05,1.8183157649280151e+05
aorta,6.3639343934393366e-01,-3.1328624160291714e+00,2.3593383305855138e+00,1.8175286969673919e+05,1.8182611416813670e+05
aorta,6.3650215021502099e-01,-3.1359826136895577e+00,2.3580459567459653e+00,1.8174685381333416e+05,1.8182064850640239e+05
aorta,6.3661086108610832e-01,-3.1391029890217119e+00,2.3567432183511725e+00,1.8174083593425469e+05,1.8181517950105731e+05
aorta,6.3671957195719564e-01,-3.1422232755179831e+00,2.3554301413209902e+00,1.8173481607137015e+05,1.8180970714559764e+05
aorta,6.3682828282828297e-01,-3.1453436064321960e+00,2.3541067519148227e+00,1.8172879423570432e+05,1.8180423143355787e+05
aorta,6.3693699369937029e-01,-3.1484639151374361e+00,2.3527730767303368e+00,1.8172277043866075e+05,1.8179875235851159e+05
aorta,6.3704570457045762e-01,-3.1515842349471646e+00,2.3514291427021563e+00,1.8171674469140929e+05,1.8179326991407215e+05
aorta,6.3715441544154316e-01,-3.1547045492046486e+00,2.3500749771005305e+00,1.8171071700519236e+05,1.8178778409389360e+05
aorta,6.3726312631263049e-01,-3.1578248662381774e+00,2.3487106075299833e+00,1.8170468739117126e+05,1.8178229489167125e+05
aorta,6.3737183718371782e-01,-3.1609451818837608e+00,2.3473360619279404e+00,1.8169865586050248e+05,1.8177680230114257e+05
aorta,6.3748054805480514e-01,-3.1640654982233167e+00,2.3459513685633371e+00,1.8169262242429893e+05,1.8177130631608795e+05
aorta,6.3758925892589247e-01,-3.1671858142158866e+00,2.3445565560351991e+00,1.8168658709364888e+05,1.8176580693033140e+05
aorta,6.3769796979697979e-01,-3.1703061303819497e+00,2.3431516532712080e+00,1.8168054987960585e+05,1.8176030413774127e+05
aorta,6.3780668066806712e-01,-3.1734264464612663e+00,2.3417366895262433e+00,1.8167451079319321e+05,1.8175479793223113e+05
aorta,6.3791539153915444e-01,-3.1765467625839556e+00,2.3403116943809019e+00,1.8166846984540130e+05,1.8174928830776035e+05
aorta,6.3802410241023999e-01,-3.1796670786849588e+00,2.3388766977400004e+00,1.8166242704718834e+05,1.8174377525833494e+05
aorta,6.3813281328132732e-01,-3.1827873947967285e+00,2.3374317298310530e+00,1.8165638240947947e+05,1.8173825877800828e+05
aorta,6.3824152415241464e-01,-3.1859077109031908e+00,2.3359768212027308e+00,1.8165033594316666e+05,1.8173273886088180e+05
aorta,6.3835023502350197e-01,-3.1890280270123079e+00,2.3345120027232991e+00,1.8164428765910823e+05,1.8172721550110573e+05
aorta,6.3845894589458929e-01,-3.1921483431200977e+00,2.3330373055790363e+00,1.8163823756812862e+05,1.8172168869287980e+05
aorta,6.3856765676567662e-01,-3.1952686592285500e+00,2.3315527612726301e+00,1.8163218568101790e+05,1.8171615843045400e+05
